lon,lat,current_avg,current_std,current_95th_centile,current_5th_centile,extreme_avg,extreme_std,extreme_95th_centile,extreme_5th_centile,has_future_point,extreme_AI_avg,extreme_AI_std,extreme_AI_95th_centile,extreme_AI_5th_centile,extreme_ET_avg,extreme_ET_std,extreme_ET_95th_centile,extreme_ET_5th_centile,extreme_precip_avg,extreme_precip_std,extreme_precip_95th_centile,extreme_precip_5th_centile,extreme_Sdep_avg,extreme_Sdep_std,extreme_Sdep_95th_centile,extreme_Sdep_5th_centile,extreme_toc_avg,extreme_toc_std,extreme_toc_95th_centile,extreme_toc_5th_centile,extreme_avg_percchange,extreme_95th_centile_percchange,extreme_5th_centile_percchange,extreme_AI_avg_percchange,extreme_ET_avg_percchange,extreme_precip_avg_percchange,extreme_Sdep_avg_percchange,extreme_toc_avg_percchange,extreme_percchange_std,Observed,residuals,residuals_fracobs,coeff_var,error_ratio,current_avg_precfilter,current_avg_accurfilter,current_avg_bothfilters,extreme_avg_filtered,extreme_95th_centile_filtered,extreme_5th_centile_filtered,extreme_AI_avg_filtered,extreme_ET_avg_filtered,extreme_precip_avg_filtered,extreme_Sdep_avg_filtered,extreme_toc_avg_filtered,extreme_avg_percchange_filtered,extreme_95th_centile_percchange_filtered,extreme_5th_centile_percchange_filtered,extreme_percchange_std_filtered,extreme_AI_avg_percchange_filtered,extreme_ET_avg_percchange_filtered,extreme_precip_avg_percchange_filtered,extreme_Sdep_avg_percchange_filtered,extreme_toc_avg_percchange_filtered,residuals_filtered,residuals_fracobs_filtered
-9.5,52.5,1538.1604774415066,21.63883643382083,1571.734286655074,1505.8971138421552,1323.300213223398,18.00191887298243,1350.8744534193738,1296.440593747451,1.0,1537.8212058545166,21.62937999230806,1571.4552025688488,1505.5711005849516,1542.7540215978845,22.153822911147248,1577.7978707374043,1510.463994478638,1547.3694134410036,22.28753765849855,1582.4696297792295,1513.8401177885478,1503.9443318213405,21.37147949594184,1536.97917510349,1472.8606998323849,1353.6946930442732,18.32568508554185,1382.4156322843933,1326.921499120543,-13.96865069472436,-12.175974273741208,-15.714867677273798,-0.02205696947527259,0.298638810692793,0.5986979989769787,-2.224484773986614,-11.992622818138186,0.39442402856646547,1470.82119,67.33928744150671,0.04578346293848725,0.014067996643506085,0.04578346293848725,1538.1604774415066,1538.1604774415066,1538.1604774415066,1323.300213223398,1350.8744534193738,1296.440593747451,1537.8212058545166,1542.7540215978845,1547.3694134410036,1503.9443318213405,1353.6946930442732,-13.96865069472436,-12.175974273741208,-15.714867677273798,0.39442402856646547,-0.02205696947527259,0.298638810692793,0.5986979989769787,-2.224484773986614,-11.992622818138186,67.33928744150671,0.04578346293848725
-9.5,53.5,869.421209998419,8.871078550228066,882.2744894009167,855.9166445494207,755.822633845336,7.883026597042498,768.3469466194822,743.5561893388013,1.0,869.9046129564028,8.887133588143286,882.726531178839,856.4191439120609,870.4618236006801,8.984505016034527,883.4073900220869,856.9601709216304,872.5480792443149,9.052748344749604,885.4585067497151,858.4719280035512,848.2098928331156,9.104020511487276,862.3261915062797,834.0517116207616,773.3647171166355,7.522733290225088,784.1698286600266,762.1000840488409,-13.066000098305588,-11.625465564512814,-14.476874869414166,0.05560054809160658,0.11969038600552716,0.35964952429691754,-2.4397055099842766,-11.0483263781842,0.39116094550170055,920.40184,-50.98063000158095,-0.055389535076962634,0.01020343010753579,-0.055389535076962634,869.421209998419,869.421209998419,869.421209998419,755.822633845336,768.3469466194822,743.5561893388013,869.9046129564028,870.4618236006801,872.5480792443149,848.2098928331156,773.3647171166355,-13.066000098305588,-11.625465564512814,-14.476874869414166,0.39116094550170055,0.05560054809160658,0.11969038600552716,0.35964952429691754,-2.4397055099842766,-11.0483263781842,-50.98063000158095,-0.055389535076962634
-8.5,37.5,129.41717314536288,2.131849111552023,133.20817245339595,126.30602967733104,119.19430858387815,2.766580535625404,124.21905444792776,114.77828330133376,1.0,126.36385284132322,2.265784210384759,130.28833637737975,122.95521447759516,127.69047111474389,2.307080909786816,131.66829079098656,124.14173256815027,125.91976344874298,2.319042045394524,129.8643063840975,122.377218904341,121.93938536601004,2.682985365715433,126.68944045636415,117.37337828842146,129.6298317440769,2.334190312007804,133.647453871118,126.02870845545202,-7.899156126677474,-4.016560222341229,-11.311396693533517,-2.3592852709046066,-1.3342139908121335,-2.7024309151704045,-5.7780490777322875,0.16432023165516696,0.734854730004389,151.982993,-22.565819854637112,-0.1484759538498963,0.01647269106363114,-0.1484759538498963,129.41717314536288,129.41717314536288,129.41717314536288,119.19430858387815,124.21905444792776,114.77828330133376,126.36385284132322,127.69047111474389,125.91976344874298,121.93938536601004,129.6298317440769,-7.899156126677474,-4.016560222341229,-11.311396693533517,0.734854730004389,-2.3592852709046066,-1.3342139908121335,-2.7024309151704045,-5.7780490777322875,0.16432023165516696,-22.565819854637112,-0.1484759538498963
-8.5,38.5,119.0229358892017,1.6480105729228112,121.9987242295055,116.60195021076622,106.31349816418444,2.1341368258581928,109.74739827300282,103.13631632288084,1.0,116.47472906577669,1.8110928763302183,119.6309978840344,113.79364644523584,117.46716655568724,1.7402006735231557,120.52060555293116,114.76184991251104,116.0292605895446,1.7365911967570722,118.9998689557447,113.37378969686677,112.41533063495665,2.1000440121422543,116.0956564310867,109.35525896391556,114.9285584363476,1.71189478986874,117.93460216430682,112.28121447535864,-10.678141679220941,-7.793067400751628,-13.347527892531314,-2.1409376305396646,-1.3071172559234514,-2.5152087513988963,-5.551539461600972,-3.4399903029324994,0.6836698947288177,126.259201,-7.2362651107983,-0.05731277446305319,0.013846159654950388,-0.05731277446305319,119.0229358892017,119.0229358892017,119.0229358892017,106.31349816418444,109.74739827300282,103.13631632288084,116.47472906577669,117.46716655568724,116.0292605895446,112.41533063495665,114.9285584363476,-10.678141679220941,-7.793067400751628,-13.347527892531314,0.6836698947288177,-2.1409376305396646,-1.3071172559234514,-2.5152087513988963,-5.551539461600972,-3.4399903029324994,-7.2362651107983,-0.05731277446305319
-8.5,39.5,146.3095868894835,1.7499059671531796,149.19752784805075,143.8304597193898,129.74513597280924,2.257204350489598,133.27856693020124,126.54156757786431,1.0,143.5054898575863,1.9428217102330505,146.608350719217,140.85813847840126,144.53465505117455,1.89826953700351,147.68782109581625,141.72822498205608,142.9893679810547,1.8908178269173868,145.79768321702022,140.1663930314442,138.6248576365416,2.229005723045321,142.08622399980644,135.27770851011044,139.41028197735045,1.846740948091836,142.50758283878105,136.74650404113802,-11.321507543580454,-8.906470338902258,-13.511089554610786,-1.9165504404132578,-1.213134337977232,-2.2693105619502405,-5.2523757440082495,-4.715552178644673,0.6413537577433156,154.484773,-8.175186110516478,-0.0529190414806544,0.011960296002168263,-0.0529190414806544,146.3095868894835,146.3095868894835,146.3095868894835,129.74513597280924,133.27856693020124,126.54156757786431,143.5054898575863,144.53465505117455,142.9893679810547,138.6248576365416,139.41028197735045,-11.321507543580454,-8.906470338902258,-13.511089554610786,0.6413537577433156,-1.9165504404132578,-1.213134337977232,-2.2693105619502405,-5.2523757440082495,-4.715552178644673,-8.175186110516478,-0.0529190414806544
-8.5,40.5,135.6573961085125,1.3095898278734053,137.75627446240594,133.508181166163,122.1708431077216,1.8402478199993104,125.1814272909429,119.2187611016294,1.0,133.04796896430207,1.4695686548114542,135.5645721441302,130.84421257106618,134.0759613245286,1.4318119700466736,136.66254176492356,131.90241680468372,132.62107964461987,1.2474206904275358,134.91066508196604,130.7273034621685,128.38048315046316,1.9183451969349845,131.50649950750105,125.33023419535652,131.5205326085228,1.420356423950846,134.05948069189623,129.3470992337689,-9.94162750256757,-7.722372032845047,-12.117758027534173,-1.9235421134894446,-1.1657564049946108,-2.2382240489592466,-5.364184457903443,-3.049493517242956,0.6641068761470359,171.21664,-35.55924389148751,-0.20768567758068088,0.00965365594092535,-0.20768567758068088,135.6573961085125,135.6573961085125,135.6573961085125,122.1708431077216,125.1814272909429,119.2187611016294,133.04796896430207,134.0759613245286,132.62107964461987,128.38048315046316,131.5205326085228,-9.94162750256757,-7.722372032845047,-12.117758027534173,0.6641068761470359,-1.9235421134894446,-1.1657564049946108,-2.2382240489592466,-5.364184457903443,-3.049493517242956,-35.55924389148751,-0.20768567758068088
-8.5,41.5,271.4901160172425,2.62610683755558,275.82966876894415,267.8241565535308,247.4723630898912,2.919360962199872,251.8570432517944,243.09197398655425,1.0,267.053388473607,2.8938903050495632,271.9613017312628,263.22005311387693,268.80243840738075,2.776137224190023,273.2836867936166,264.78116315049914,266.4375943365428,2.5427393506083384,270.3736891928159,262.3960002097776,257.0621815105119,2.9534641088477867,261.3519295245662,252.6602666511965,265.4089526528103,2.740334022745261,269.83411579375786,261.4250829050742,-8.84663989971035,-7.231597618898646,-10.460101622588962,-1.6342132850809536,-0.9899725445957087,-1.8610333793436449,-5.314349825469988,-2.2399207211086765,0.6647484243132346,250.922623,20.567493017242498,0.08196747177014206,0.009672937181215079,0.08196747177014206,271.4901160172425,271.4901160172425,271.4901160172425,247.4723630898912,251.8570432517944,243.09197398655425,267.053388473607,268.80243840738075,266.4375943365428,257.0621815105119,265.4089526528103,-8.84663989971035,-7.231597618898646,-10.460101622588962,0.6647484243132346,-1.6342132850809536,-0.9899725445957087,-1.8610333793436449,-5.314349825469988,-2.2399207211086765,20.567493017242498,0.08196747177014206
-8.5,42.5,410.765180271843,5.026307049108988,419.1324094235629,403.6070434840456,370.5345369140962,4.470735534465394,377.8807537644133,364.37646471916696,1.0,404.8187569244748,5.212335418728757,413.5711182157558,397.1416406283071,408.0988978101054,5.1198274307770655,416.3457276781336,400.4476069615719,404.9241268302162,4.736316426658981,412.6991362269941,397.7559968144737,390.2234716976415,4.805301075065731,397.6373309873151,383.2504767290069,396.28314788414224,4.956694820854769,404.2590413438925,388.8442164293278,-9.794073424413025,-8.005650938004745,-11.293244359703554,-1.4476454268672088,-0.6491013819557548,-1.4219933242056224,-5.000839788953645,-3.525623174319841,0.643894978484137,274.387599,136.37758127184298,0.4970253093393006,0.012236448682876662,0.4970253093393006,410.765180271843,,,,,,,,,,,,,,,,,,,,,
-8.5,52.5,452.86590108840807,3.975478682292519,459.47795181288257,446.5748488363229,387.3689954965116,4.202174427007384,393.33210683312274,380.9260908819337,1.0,453.0098201907048,3.982454625115941,459.6436941683064,446.7176947725944,454.4880958545921,4.044152235278264,461.0944902211661,448.6875269238174,456.04739925535176,4.10056516418536,462.4336445331537,449.8048818187888,442.55050738959454,4.620347228661392,449.2918498591936,435.87093265939086,396.3308612800681,3.5570182931330785,402.0366700022636,390.7172446779809,-14.462759380753246,-13.146009472606151,-15.885455282364113,0.031779628793162505,0.3582064276169306,0.7025254405989397,-2.277803136429952,-12.48383675442661,0.4115280356760336,484.947093,-32.08119191159193,-0.06615400396181348,0.008778489775313045,-0.06615400396181348,452.86590108840807,452.86590108840807,452.86590108840807,387.3689954965116,393.33210683312274,380.9260908819337,453.0098201907048,454.4880958545921,456.04739925535176,442.55050738959454,396.3308612800681,-14.462759380753246,-13.146009472606151,-15.885455282364113,0.4115280356760336,0.031779628793162505,0.3582064276169306,0.7025254405989397,-2.277803136429952,-12.48383675442661,-32.08119191159193,-0.06615400396181348
-8.5,53.5,465.09675374737736,3.134890512479473,470.4464858453474,461.1496255623495,406.1641547293002,3.853015688580277,411.63868085310526,399.25446328045945,1.0,465.3000534053703,3.146916679188492,470.6846553239501,461.3548595200804,466.36080817672826,3.256666278140853,472.04092375495424,462.14422060680494,467.6493173076398,3.281656016405329,473.3107917015713,463.3206148987696,453.3765427692511,4.162329495935632,459.61435007642257,446.2327012717665,416.4621667008859,2.9192174845093115,421.6016937820408,412.4287514361532,-12.671040712119671,-11.493968182652264,-14.156686740213395,0.04371126144289703,0.2717831116141219,0.5488242047909262,-2.5199511464430104,-10.456875188793058,0.4236156270855886,510.706959,-45.61020525262262,-0.08930797681302521,0.006740297555768847,-0.08930797681302521,465.09675374737736,465.09675374737736,465.09675374737736,406.1641547293002,411.63868085310526,399.25446328045945,465.3000534053703,466.36080817672826,467.6493173076398,453.3765427692511,416.4621667008859,-12.671040712119671,-11.493968182652264,-14.156686740213395,0.4236156270855886,0.04371126144289703,0.2717831116141219,0.5488242047909262,-2.5199511464430104,-10.456875188793058,-45.61020525262262,-0.08930797681302521
-8.5,54.5,1543.977626845382,21.863470370622306,1577.767538052127,1508.9620228462795,1404.7374170232706,18.648811940822625,1435.6960925842272,1374.503947242208,1.0,1545.8814842779643,21.920956172695053,1579.350215369123,1510.7434077593025,1548.127911058435,22.093611550948133,1583.156135046344,1512.103185456858,1552.4407086700571,21.95630352469946,1586.8780092914733,1517.9259787603005,1511.34817028205,20.92130926107316,1545.4930537884463,1477.7127530944383,1433.1560904473629,19.68113565843964,1463.4946690756956,1400.6985885034064,-9.018278982876433,-7.013154360428979,-10.976433638448418,0.12330861532444709,0.2688046860842677,0.5481350038709217,-2.113337395309268,-7.177664654665174,0.36893102716716997,1531.844889,12.132737845382053,0.007920343588639968,0.01416048392831522,0.007920343588639968,1543.977626845382,1543.977626845382,1543.977626845382,1404.7374170232706,1435.6960925842272,1374.503947242208,1545.8814842779643,1548.127911058435,1552.4407086700571,1511.34817028205,1433.1560904473629,-9.018278982876433,-7.013154360428979,-10.976433638448418,0.36893102716716997,0.12330861532444709,0.2688046860842677,0.5481350038709217,-2.113337395309268,-7.177664654665174,12.132737845382053,0.007920343588639968
-7.5,37.5,101.49536511933356,1.805725653585026,104.39060439000863,98.6869749349894,92.71800273817264,2.266453445009728,96.5460692958504,89.40053645578284,1.0,98.6834402450108,1.91257158562524,101.71665304772178,95.75652089465552,100.04586729046557,1.939874518139299,103.12800884980834,97.09487925181192,98.43587676113484,2.0082905090900147,101.78092959056433,95.42530265459554,95.52039968990051,2.1549491740474607,99.10484025465676,92.1066256654506,101.51182101290762,1.9625337043339883,104.63234839171528,98.5201543759656,-8.648042569077806,-4.8763761947789455,-11.916631512513083,-2.7704958458118996,-1.428141893143335,-3.0144118941801095,-5.88693426779435,0.016213443396861957,0.7607087775630653,78.837315,22.658050119333552,0.28740261029099673,0.017791212943191418,0.28740261029099673,101.49536511933356,101.49536511933356,101.49536511933356,92.71800273817264,96.5460692958504,89.40053645578284,98.6834402450108,100.04586729046557,98.43587676113484,95.52039968990051,101.51182101290762,-8.648042569077806,-4.8763761947789455,-11.916631512513083,0.7607087775630653,-2.7704958458118996,-1.428141893143335,-3.0144118941801095,-5.88693426779435,0.016213443396861957,22.658050119333552,0.28740261029099673
-7.5,38.5,152.0735113648517,2.466890887995648,156.34364182514824,148.49365551411154,133.6467265423797,2.940635138473371,138.6135235685515,129.33196886913765,1.0,148.79843607666868,2.6446947491829693,153.2504500896499,144.9893537348036,150.32701237018534,2.506561625119413,154.66177544031822,146.7824380306538,148.5254870755951,2.513374056882524,152.7736974657114,144.70569558542627,143.7032055673386,2.954912590999683,148.881849973163,139.76145733307538,144.61746251597356,2.4233187394358238,148.83220387682232,141.2069582665578,-12.117024626506343,-8.850974555330197,-14.954308802111496,-2.153613248480548,-1.1484570711832836,-2.333098155893997,-5.5041181875725975,-4.902924106874694,0.6816698258122255,80.053766,72.0197453648517,0.899642190035778,0.016221700057133113,0.899642190035778,152.0735113648517,,,,,,,,,,,,,,,,,,,,,
